name,phrase,numberOfWords
C3PO,Did you hear that They've shut down the main reactor We'll be destroyed for sure This is madness,18
C3PO,We're doomed,2
C3PO,There'll be no escape for the Princess this time,9
C3PO,What's that,2
C3PO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister,16
LUKE,Hurry up Come with me What are you waiting for Get in gear,13
C3PO,R2D2 R2D2 where are you,5
C3PO,At last Where have you been,6
C3PO,They're heading in this direction What are we going to do We'll be sent to the spice mine of Kessel or smashed into who knows what,26
C3PO,Wait a minute where are you going,7
IMPERIAL OFFICER,The Death Star plans are not in the main computer,10
VADER,Where are those transmissions you intercepted,6
VADER,What have you done with those plans,7
REBEL OFFICER,We intercepted no transmissions Aaah This is a consular ship Were on a diplomatic mission,15
VADER,If this is a consular ship were is the Ambassador,10
VADER,Commander tear this ship apart until you've found those plans and bring me the Ambassador I want her alive,19
TROOPER,There she is Set for stun,6
TROOPER,She'll be all right Inform Lord Vader we have a prisoner,11
C3PO,Hey you're not permitted in there It's restricted You'll be deactivated for sure,13
C3PO,Don't call me a mindless philosopher you overweight glob of grease Now come out before somebody sees you,18
C3PO,Secret mission What plans What are you talking about I'm not getting in there,14
C3PO,I'm going to regret this,5
CHIEF PILOT,There goes another one,4
CAPTAIN,Hold your fire There are no life forms It must have been short-circuited,13
C3PO,That's funny the damage doesn't look as bad from out here,11
C3PO,Are you sure this things safe,6
WOMAN,I've told you kids to slow down,7
FIXER,Did I hear a young noise blast through here,9
CAMIE,It was just wormie on another rampage,7
LUKE,Shape it up you guys Biggs,6
LUKE,I didn't know you were back When did you get in,11
BIGGS,Just now I wanted to surprise you hot shot I thought you'd be here certainly didn't expect you to be out working,22
LUKE,The Academy didn't change you muchbut you're back so soon Hey what happened didn't you get your commission,18
BIGGS,Of course I got it Signed aboard The Rand Ecliptic last week First mate Biggs Darklighter at your serviceI just came to say good-bye to all you unfortunate landlocked simpletons,30
LUKE,I almost forgot There's a battle going on Right here in our system Come and look,16
DEAK,Not again Forget it,4
LUKE,There they are,3
BIGGS,That's no battle hot shot they're just sitting there Probably a freighter-tanker refueling,13
LUKE,But there was a lot of firing earlier,8
LUKE,Hey easy with those,4
CAMIE,Don't worry about it Wormie,5
FIXER,I keep telling you the Rebellion is a long way from here I doubt if the Empire would even fight to keep this system Believe me Luke this planet is a big hunk of nothing,35
LEIA,Lord Vader I should have known Only you could be so bold The Imperial Senate will not sit for this when they hear you've attacked a diplomatic,27
VADER,Don't play games with me Your Highness You weren't on any mercy mission this time You passed directly through a restricted system Several transmissions were beamed to this ship by Rebel spies I want to know what happened to the plans they sent you,44
LEIA,I don't know what you're talking about I'm a member of the Imperial Senate on a diplomatic mission to Alderaan,20
VADER,You're a part of the Rebel Alliance and a traitor Take her away,13
COMMANDER,Holding her is dangerous If word of this gets out it could generate sympathy for the Rebellion in the senate,20
VADER,I have traced the Rebel spies to her Now she is my only link to find their secret base,19
COMMANDER,She'll die before she tells you anything,7
VADER,Leave that to me Send a distress signal and then inform the senate that all aboard were killed,18
SECOND OFFICER,Lord Vader the battle station plans are not aboard this ship And no transmissions were made An escape pod was jettisoned during the fighting but no life forms were aboard,30
VADER,She must have hidden the plans in the escape pod Send a detachment down to retrieve them See to it personally Commander There'll be no one to stop us this time,31
COMMANDER,Yes sir,2
C3PO,How did I get into this mess I really don't know how We seem to be made to suffer It's our lot in life,24
C3PO,I've got to rest before I fall apart My joints are almost frozen,13
C3PO,What a desolate place this is,6
C3PO,Where are you going,4
C3PO,Well I'm not going that way It's much too rocky This way is much easier,15
C3PO,What makes you think there are settlements over there,9
C3PO,Don't get technical with me,5
C3PO,What mission What are you talking about I've had just about enough of you Go that way You'll be malfunctioning within a day you nearsighted scrap pile,27
C3PO,And don't let me catch you following me begging for help because you won't get it,16
C3PO,No more adventures I'm not going that way,8
C3PO,That malfunctioning little twerp This is all his fault He tricked me into going this way but he'll do no better,21
C3PO,Wait what's that A transport I'm saved,7
C3PO,Over here Help Please help,5
LUKE,so I cut off my power shut down the afterburners and came in low on Deak's trail I was so close I thought I was going to fry my instruments As it was I busted up the Skyhopper pretty bad Uncle Owen was pretty upset He grounded me for the rest of the season You should have been there it was fantastic,62
BIGGS,You ought to take it easy Luke You may be the hottest bushpilot this side of Mos Eisley but those little Skyhoppers are dangerous Keep it up and one day whammo you're going to be nothing more than a dark spot on the down side of a canyon wall,49
LUKE,Look who's talking Now that you've been around those giant starships you're beginning to sound like my uncle You've gotten soft in the city,24
BIGGS,I've missed you kid,4
LUKE,Well things haven't been the same since you left Biggs It's been so quiet,14
BIGGS,Luke I didn't come back just to say good-bye I shouldn't tell you this but you're the only one I can trust and if I don't come back I want somebody to know,33
LUKE,What are you talking about,5
BIGGS,I made some friends at the Academywhen our frigate goes to one of the central systems we're going to jump ship and join the Alliance,25
LUKE,Join the Rebellion Are you kidding How,7
BIGGS,Quiet down will ya You got a mouth bigger than a meteor crater,13
LUKE,I'm sorry I'm quietListen how quiet I am You can barely hear me,13
BIGGS,My friend has a friend on Bestine who might help us make contact,13
LUKE,You're crazy You could wander around forever trying to find them,11
BIGGS,I know it's a long shot but if I don't find them I'll do what I can on my own It's what we always talked about Luke I'm not going to wait for the Empire to draft me into service The Rebellion is spreading and I want to be on the right side the side I believe in,58
LUKE,And I'm stuck here,4
BIGGS,I thought you were going to the Academy next term You'll get your chance to get off this rock,19
LUKE,Not likely I had to cancel my application There has been a lot of unrest among the Sandpeople since you left they've even raided the outskirts of Anchorhead,28
BIGGS,Your uncle could hold off a whole colony of Sandpeople with one blaster,13
LUKE,I know but he's got enough vaporators going to make the place pay off He needs me for just one more season I can't leave him now,27
BIGGS,I feel for you Luke you're going to have to learn what seems to be important or what really is important What good is all your uncle's work if it's taken over by the Empire You know they're starting to nationalize commerce in the central systems it won't be long before your uncle is merely a tenant slaving for the greater glory of the Empire,65
LUKE,It couldn't happen here You said it yourself The Empire won't bother with this rock,15
BIGGS,Things always change,3
LUKE,I wish I was going Are you going to be around long,12
BIGGS,No I'm leaving in the morning,6
LUKE,Then I guess I won't see you,7
BIGGS,Maybe someday I'll keep a lookout,6
LUKE,Well I'll be at the Academy next season after that who knows I won't be drafted into the Imperial Starfleet that's for sure Take care of yourself you'll always be the best friend I've got,35
BIGGS,So long Luke,3
C3PO,R2D2 It's you It's you,5
FIRST TROOPER,Someone was in the pod The tracks go off in this direction,12
SECOND TROOPER,Look sir droids,3
C3PO,Wake up Wake up,4
C3PO,We're doomed,2
C3PO,Do you think they'll melt us down,7
C3PO,Don't shoot Don't shoot Will this never end,8
BERU,Luke tell Owen that if he gets a translator to be sure it speaks Bocce,15
LUKE,It looks like we don't have much of a choice but I'll remind him,14
OWEN,I have no need for a protocol droid,8
C3PO,Sir not in an environment such as this that's why I've also been programmed for over thirty secondary functions that,20
OWEN,What I really need is a droid that understands the binary language of moisture vaporators,15
C3PO,Vaporators Sir My first job was programming binary load lifter very similar to your vaporators You could say,18
OWEN,Do you speak Bocce,4
C3PO,Of course I can sir It's like a second language for me I'm as fluent in Bocce,17
OWEN,All right shut upI'll take this one,7
C3PO,Shutting up sir,3
OWEN,Luke take these two over to the garage will you I want you to have both of them cleaned up before dinner,22
LUKE,But I was going into Toshi Station to pick up some power converters,13
OWEN,You can waste time with your friends when your chores are done Now come on get to it,18
LUKE,All right come on And the red one come on Well come on Red let's go,16
LUKE,Uncle Owen,2
OWEN,Yeah,1
LUKE,This R2 unit has a bad motivator Look,8
OWEN,Hey what're you trying to push on us,8
C3PO,Excuse me sir but that R2 unit is in prime condition A real bargain,14
LUKE,Uncle Owen,2
OWEN,Yeah,1
LUKE,What about that one,4
OWEN,What about that blue one We'll take that one,9
LUKE,Yeah take it away,4
C3PO,Uh I'm quite sure you'll be very pleased with that one sir He really is in first-class condition I've worked with him before Here he comes,26
LUKE,Okay let's go,3
C3PO,Now don't you forget this Why I should stick my neck out for you is quite beyond my capacity,19
C3PO,Thank the maker This oil bath is going to feel so good I've got such a bad case of dust contamination I can barely move,25
LUKE,It just isn't fair Oh Biggs is right I'm never gonna get out of here,15
C3PO,Is there anything I might do to help,8
LUKE,Well not unless you can alter time speed up the harvest or teleport me off this rock,17
C3PO,I don't think so sir I'm only a droid and not very knowledgeable about such things Not on this planet anyways As a matter of fact I'm not even sure which planet I'm on,34
LUKE,Well if there's a bright center to the universe you're on the planet that it's farthest from,17
C3PO,I see sir,3
LUKE,Uh you can call me Luke,6
C3PO,I see sir Luke,4
LUKE,Just Luke,2
C3PO,And I am See-C3PO human-cyborg relations and this is my counterpart R2D2,12
LUKE,Hello,1
LUKE,You got a lot of carbon scoring here It looks like you boys have seen a lot of action,19
C3PO,With all we've been through sometimes I'm amazed we're in as good condition as we are what with the Rebellion and all,22
LUKE,You know of the Rebellion against the Empire,8
C3PO,That's how we came to be in your service if you take my meaning sir,15
LUKE,Have you been in many battles,6
C3PO,Several I think Actually there's not much to tell I'm not much more than an interpreter and not very good at telling stories Well not at making them interesting anyways,30
LUKE,Well my little friend you've got something jammed in here real good Were you on a cruiser or,18
LEIA,Help me Obi-Wan Kenobi You're my only hope,8
LUKE,What's this,2
C3PO,What is what He asked you a questionWhat is that,10
LEIA,Help me Obi-Wan Kenobi You're my only hope Help me Obi-Wan Kenobi You're my only hope,16
C3PO,Oh he says it's nothing sir Merely a malfunction Old data Pay it no mind,15
LUKE,Who is she She's beautiful,5
C3PO,I'm afraid I'm not quite sure sir,7
LEIA,Help me Obi-Wan Kenobi,4
C3PO,I think she was a passenger on our last voyage A person of some importance sir I believe Our captain was attached to,23
LUKE,Is there more to this recording,6
C3PO,Behave yourself R2D2 You're going to get us in trouble It's all right you can trust him He's our new master,21
C3PO,He says he's the property of Obi-Wan Kenobi a resident of these parts And it's a private message for him Quite frankly sir I don't know what he's talking about Our last master was Captain Antilles but with what we've been through this little R2 unit has become a bit eccentric,51
LUKE,Obi-Wan Kenobi I wonder if he means old Ben Kenobi,10
C3PO,I beg your pardon sir but do you know what he's talking about,13
LUKE,Well I don't know anyone named Obi-Wan but old Ben lives out beyond the dune sea He's kind of a strange old hermit,23
LUKE,I wonder who she is It sounds like she's in trouble I'd better play back the whole thing,18
C3PO,He says the restraining bolt has short circuited his recording system He suggests that if you remove the bolt he might be able to play back the entire recording,29
LUKE,H'm Oh yeah well I guess you're too small to run away on me if I take this off Okay,20
LUKE,There you go,3
LUKE,Well wait a minute Where'd she go Bring her back Play back the entire message,15
C3PO,What message The one you're carrying inside your rusty innards,10
AUNT BERU,Luke Luke Come to dinner,5
LUKE,All right I'll be right there Aunt Beru,8
C3PO,I'm sorry sir but he appears to have picked up a slight flutter,13
LUKE,Well see what you can do with him I'll be right back,12
C3PO,Just you reconsider playing that message for him,8
C3PO,No I don't think he likes you at all,9
C3PO,No I don't like you either,6
LUKE,You know I think that R2 unit we bought might have been stolen,13
OWEN,What makes you think that,5
LUKE,Well I stumbled across a recording while I was cleaning him He says he belongs to someone called Obi-Wan Kenobi,20
LUKE,I thought he might have meant old Ben Do you know what he's talking about Well I wonder if he's related to Ben,23
OWEN,That old man's just a crazy old wizard Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed That'll be the end of it It belongs to us now,35
LUKE,But what if this Obi-Wan comes looking for him,9
OWEN,He won't I don't think he exists any more He died about the same time as your father,18
LUKE,He knew my father,4
OWEN,I told you to forget it Your only concern is to prepare the new droids for tomorrow In the morning I want them on the south ridge working out those condensers,31
LUKE,Yes sir I think those new droids are going to work out fine In fact I uh was also thinking about our agreement about my staying on another season And if these new droids do work out I want to transmit my application to the Academy this year,48
OWEN,You mean the next semester before harvest,7
LUKE,Sure there're more than enough droids,6
OWEN,Harvest is when I need you the most Only one more season This year we'll make enough on the harvest so I'll be able to hire some more hands And then you can go to the Academy next year,39
OWEN,You must understand I need you here Luke,8
LUKE,But it's a whole 'nother year,6
OWEN,Look it's only one more season,6
LUKE,Yeah that's what you said last year when Biggs and Tank left,12
AUNT BERU,Where are you going,4
LUKE,It looks like I'm going nowhere I have to finish cleaning those droids,13
AUNT BERU,Owen he can't stay here forever Most of his friends have gone It means so much to him,18
OWEN,I'll make it up to him next year I promise,10
AUNT BERU,Luke's just not a farmer Owen He has too much of his father in him,15
OWEN,That's what I'm afraid of,5
LUKE,What are you doing hiding there,6
C3PO,It wasn't my fault sir Please don't deactivate me I told him not to go but he's faulty malfunctioning; kept babbling on about his mission,25
LUKE,Oh no,2
C3PO,That R2 unit has always been a problem These astro-droids are getting quite out of hand Even I can't understand their logic at times,24
