name,phrase,numberOfWords
POE,Well because of you now we have a chance The General's been after this for a long time,18
POE,We've got company,3
POE,You have to hide,4
POE,Come on BB-8 Hurry,4
POE,I see 'em,3
POE,You take this It's safer with you than it is with me You get as far away from here as you can Do you hear me I'll come back for you It will be alright,35
KYLO REN,Look how old you've become,5
KYLO REN,You know what I've come for,6
KYLO REN,The map to Skywalker We know you've found it and now you're going to give it to the First Order,20
KYLO REN,I'll show you the dark side,6
KYLO REN,You're so right,3
POE,So who talks first You talk first,7
KYLO REN,The old man gave it to you,7
POE,It's just very hard to understand you with all the,10
KYLO REN,Search him,2
POE, Apparatus,1
KYLO REN,Put him on board,4
KYLO REN,Kill them all,3
POE,All right All right,4
REY,Tal'ama parqual,2
REY,Parqual zatana,2
REY,Shhhh,1
REY,That's just Teedo Wants you for parts He has no respect for anyone Your antenna's bent Where do you come from,21
REY,Keep away from the Sinking Fields in the north you'll drown in the sand,14
REY,Don't follow me Town is that way No,8
REY,In the morning you go,5
KYLO REN,I had no idea we had the best pilot in the Resistance on board Comfortable,15
POE,Not really,2
KYLO REN,I'm impressed No one has been able to get out of you what you did with the map,18
POE,Might wanna rethink your technique,5
KYLO REN,Where is it,3
POE,The Resistance will not be intimidated by you,8
KYLO REN,Where is it,3
KYLO REN,It's in a droid A BB unit,7
GENERAL HUX,Well then If it's on Jakku we'll soon have it,10
KYLO REN,I leave that to you,5
REY,Don't give up He still might show up Whoever it is you're waiting for Classified I know all about waiting,20
REY,For my family They'll be back One day Come on,10
REY,Last week they were a half portion each,8
REY,What about him,3
REY,Actually the droid's not for sale,6
POE,If what,2
POE,You with the Resistance,4
POE,I can fly anything Why why are you helping me,10
POE,You need a pilot,4
POE,We're gonna do this,4
POE,I am calm,3
POE,I always wanted to fly one of these things Can ya shoot,12
POE,Okay same principal Use the toggle on the left to switch between missiles cannons and mag pulse use the site on the right to aim triggers to fire,28
POE,I can fix this,4
POE,I got it,3
POE,Woooahhh This thing really moves All right we gotta take out as many cannons as we can or we're not gonna get very far,24
POE,I'm gonna get us in position just stay sharp,9
POE,Up ahead Up ahead You see it I've got us dead centered It's a clean shot,16
POE,I saw it Hey what's your name,7
POE,FN-whaa,1
POE,Well I ain't using it FN huh Finn I'm gonna call you Finn That all right,16
FINN,Finn Yeah Finn I like that I like that,9
POE,I'm Poe Poe Dameron,4
FINN,Good to meet you Poe,5
POE,Good to meet you too Finn,6
GENERAL HUX,Use the ventral cannons,4
KYLO REN,General Hux Is it the Resistance pilot,7
GENERAL HUX,Yes and he had help,5
GENERAL HUX,We're checking the registers now to identify which Stormtrooper it was,11
KYLO REN, The one from the village FN-,6
GENERAL HUX,Fire,1
POE,One's coming towards you My right your left Do you see it,12
FINN,Hold on I see it,5
POE,Nice shot,2
FINN,Where are you going,4
POE,We're going back to Jakku That's where,7
FINN,No no no We can't go back to Jakku We need to get outta this system,16
POE,I got to get to my droid before the First Order does,12
FINN,What - a droid,4
POE,That's right He's a BB unit Orange and white one of a kind,13
FINN,I don't care what color he is No droid can be that important,13
POE,This one is pal,4
FINN,We need to get as far away from the First Order as we can We go back to Jakku we die,21
POE,That droid's got a map that leads straight to Luke Skywalker,11
FINN,Oh you gotta be kidding me I,7
GENERAL HUX,No prior signs of non-conformity,5
GENERAL HUX,Destroyed,1
GENERAL HUX,They were going back for the droid send a squad to the wreckage,13
FINN,Poe Poe,2
FINN,Poe POE,2
GENERAL HUX,Supreme Leader Snoke was explicit Capture the droid if we can but destroy it if we must,17
KYLO REN,How capable are your soldiers General,6
GENERAL HUX,I won't have you question my methods,7
KYLO REN,They're obviously skilled at committing high treason Perhaps Leader Snoke should consider using a clone army,16
GENERAL HUX,My men are exceptionally trained programmed from birth,8
KYLO REN,Then they should have no problem retrieving the droid Unharmed,10
GENERAL HUX,Careful Ren That your personal interests not interfere with orders from Leader Snoke,13
KYLO REN,I want that map For your sake I suggest you get it,12
FINN,Water water water,3
FINN,Awgh GAH,2
REY,What's your hurry thief,4
FINN,What Thief,2
FINN,OW HEY What,3
REY,The jacket This droid says you stole it,8
FINN,I've had a pretty messed up day alright So I'd appreciate it you stop accusing me OW Where'd you get it It belongs to his master,26
FINN,It belonged to Poe Dameron That was his name right,10
FINN,He was captured by the First Order I helped him escape but our ship crashed,15
REY,So you're with the Resistance,5
FINN,Obviously Yes I am I'm with the Resistance yeah,9
REY,I've never met a Resistance fighter before,7
FINN,Well this is what we look like Some of us Others look different,13
REY,BB-8 says he's on a secret mission he has to get back to your base,15
FINN,Apparently he's carrying a map that leads to Luke Skywalker and everyone's after it,14
REY,Luke Skywalker I thought he was a myth,8
REY,What is it,3
REY,What are you doing,4
FINN,Come on,2
FINN,Come on BB-8,3
REY,Let go of me,4
FINN,No we gotta move,4
REY,I know how to run without you holding my hand BB-8 stay close This way,15
REY,They're shooting at both of us,6
FINN,Yeah they saw you with me You're marked,8
REY,Well thanks for that,4
FINN,I'm not the one who chased you down with a stick Does anyone have blasters around here,17
REY,Are you okay,3
REY,Stop taking my hand,4
REY,Hey,1
FINN,Are you okay,3
REY,Yeah Follow me,3
FINN,We can't outrun them,4
REY,We might in that quad-jumper,5
FINN,We need a pilot,4
REY,We've got one,3
FINN,You What about that ship,5
REY,That one's garbage,3
REY,The garbage'll do,3
REY,Gunner position's down there,4
FINN,Y'ever fly this thing,4
REY,No This ship hasn't been flown in years,8
FINN,Great Whoa I can do this I can do this,10
REY,I can do this I can do this,8
FINN,Whoa Hey Oh Stay low Stay low,7
REY,Stay low It confuses their tracking,6
REY,BB-8 hold on,3
REY,What are you doing back there Are you ever gonna fire back,12
FINN,I'm working on it Are the shields up,8
REY,Not so easy without a co-pilot,6
FINN,Try sitting in this thing,5
FINN,We need cover quick,4
REY,We're about to get some,5
FINN,Damn it,2
FINN,Come on come on,4
REY,Nice shot,2
FINN,I'm getting pretty good at this,6
FINN,The cannon's stuck in forward position I can't move it You gotta lose 'em,14
REY,Get ready,2
FINN,Okay For what,3
REY,Oh no,2
FINN,Whooo,1
REY,You're ok He's with the Resistance He's going to get you home We both will,15
FINN,Finn What's yours,3
REY,I'm Rey,2
FINN,Rey,1
REY,Help me with this Quick,5
FINN,Whoa What's going on,4
KYLO REN,The droid stole a freighter,5
KYLO REN,Anything else,2
KYLO REN,What girl,2
REY,It's the motivator Grab me a Harris wrench check in there,11
FINN,How bad is it,4
REY,If we wanna live not good,6
FINN,They're hunting for us now we gotta get outta this system,11
REY,BB-8 said the location of the Resistance Base is need to know if I'm taking you there I need to know,21
FINN,This,1
FINN,You gotta tell us where the base is,8
REY,Pilex driver hurry,3
REY,So where's your base,4
FINN,Go on BB-8 tell her,5
REY,The Ileenium system,3
FINN,Yeah the Ileenium system that's the one get us there as fast as you can,15
REY,I'll drop you two at Ponemah Terminal I need the bonding tape hurry,13
FINN,What about you,3
REY,I gotta get back to Jakku,6
FINN,BACK TO JAK Why does everyone always wanna go back to Jakku ,12
REY,No that one No No The one I'm pointing to No NO NO If we don't patch it up the propulsion tank will overflow and flood the ship with poisonous gas,31
FINN,This,1
REY,Yes,1
FINN,Hey Rey You're a pilot you can fly anywhere Why go back You got a family You got a boyfriend Cute boyfriend,22
REY,None of your business THAT'S WHY,6
FINN, That can't be good,4
REY,No it can't be,4
REY,Someone's locked onto us all controls are overridden,8
REY,Get off Get off See anything,6
FINN, Oh no,2
FINN,It's the First Order,4
REY,What do we dothere must be,6
FINN,You said poisonous gas,4
REY,Yeah but I fixed that,5
FINN,Can you unfix it,4
REY,C'mon BB-8,2
FINN,I got it,3
REY,Oooh,1
FINN,I'm okay BB-8 get off me,6
REY,You think this'll work on the Stormtroopers,7
FINN,Yeah Their masks filter out smoke not toxins,8
FINN,Hurry,1
REY,I'm hurrying,2
HAN,Chewie we're home,3
